QX0026  thickness=14.08
 0.8237797     0.0021855
 0.8346112     0.0024104
 0.8453354     0.0025743
 0.8560286     0.0026568
 0.8667647     0.0026784
 0.8775251     0.0026791
 0.8882069     0.0026684
 0.8987430     0.0026166
 0.9091382     0.0025030
 0.9193891     0.0023350
 0.9294494     0.0021220
 0.9392530     0.0018653
 0.9487322     0.0015571
 0.9578462     0.0011813
 0.9665677     0.0007500
 0.9748241     0.0003037
 0.9825172    -0.0001284
 0.9895860    -0.0005515
 0.9960345    -0.0009657
 1.0000000    -0.0012285
